id,title,old_filename,file_name,volume,year
129500,Chega De Saudade (No More Blues),129500.pdf,Chega De Saudade No More Blues.pdf,Vol1,1962
58818,Chelsea Bells,058818.pdf,Chelsea Bells.pdf,Vol1,1975
129510,Chelsea Bridge,129510.pdf,Chelsea Bridge.pdf,Vol1,1941
129850,Cherokee (Indian Love Song),129850.pdf,Cherokee Indian Love Song.pdf,Vol1,1938
130075,Cherry Pink And Apple Blossom White,130075.pdf,Cherry Pink And Apple Blossom White.pdf,Vol1,1950
130090,Cheryl,130090.pdf,Cheryl.pdf,Vol3,1947
130701,Chicago (That Toddlin' Town),130701.pdf,Chicago That Toddlin' Town.pdf,Vol3,1922
54965,Chippie,054965.pdf,Chippie.pdf,Vol1,1958
132285,Chitlins Con Carne,132285.pdf,Chitlins Con Carne.pdf,Vol1,1963
26413,Circle,026413.pdf,Circle.pdf,Vol2,1965
986059,Close Your Eyes,986059.pdf,Close Your Eyes.pdf,Vol2,1932
983432,Cold Duck Time,983432.pdf,Cold Duck Time.pdf,Vol2,1969
153125,Come Fly With Me,153125.pdf,Come Fly With Me.pdf,Vol3,1958
153925,Come Rain Or Come Shine,153925.pdf,Come Rain Or Come Shine.pdf,Vol2,1946
154100,Come Sunday,154100.pdf,Come Sunday.pdf,Vol1,1946
38926,Comin' Home Baby,038926.pdf,Comin' Home Baby.pdf,Vol2,1962
158150,Como En Vietnam,158150.pdf,Como En Vietnam.pdf,Vol1,1969
13014,Con Alma,013014.pdf,Con Alma.pdf,Vol1,1956
9851,Conception,009851.pdf,Conception.pdf,Vol1,1950
161000,Confirmation,161000.pdf,Confirmation.pdf,Vol1,1946
40742,Contemplation,040742.pdf,Contemplation.pdf,Vol1,1963
30966,Continuum,030966.pdf,Continuum.pdf,Vol3,1974
986912,Cool Blues,986912.pdf,Cool Blues.pdf,Vol2,1961
164210,Copenhagen,164210.pdf,Copenhagen.pdf,Vol3,1924
59295,Coral,059295.pdf,Coral.pdf,Vol1,1972
7737,Cotton Tail,007737.pdf,Cotton Tail.pdf,Vol1,1940
167000,Could It Be You,167000.pdf,Could It Be You.pdf,Vol1,1942
167398,Countdown,167398.pdf,Countdown.pdf,Vol1,1977
