id	file_name	title	title_playlist	playlist	composer	year	year_truncated	tonality	tune_key	tune_mode	structure	num_bars	time_signature	cycle_fifths_order	style	musicbrainz_id	wikidata_id	wikidata_allmusic	wiki_link	wikidata_description	lyricist
20	dataset/jazz1350/A Pretty Girl Is Like A Melody.xml	A Pretty Girl Is Like A Melody	A Pretty Girl Is Like A Melody [jazz1350]	jazz1350	Irving Berlin	1919.0	1919.0	G major	G	major	AB	32.0	4/4	1.0	Medium Swing	bdf329ce-0d75-3519-afe6-8afb1f46e029					
21	dataset/jazz1350/A Sleepin' Bee.xml	A Sleepin' Bee	A Sleepin' Bee [jazz1350]	jazz1350	Harold Arlen	1954.0	1954.0	Ab major	Ab	major	ABAC	36.0	4/4	-4.0	Medium Swing	603c64a6-90cd-37ba-8fb7-277760b2123c	Q4659572		https://en.wikipedia.org/wiki/A_Sleepin%27_Bee	song	Harold Arlen, Truman Capote
22	dataset/jazz1350/A Smooth One.xml	A Smooth One	A Smooth One [jazz1350]	jazz1350	Benny Goodman			F major	F	major	AABA	32.0	4/4	-1.0	Medium Up Swing	73c7797a-3a44-3a18-a787-6229e84fbfc1					
23	dataset/jazz1350/A Sound For Sore Ears.xml	A Sound For Sore Ears	A Sound For Sore Ears [jazz1350]	jazz1350	Jimmy Heath			Eb major	Eb	major	ABC	24.0	4/4	-3.0	Even 8ths	57644516-7ec7-4fa1-888f-bf324f937ff8					
24	dataset/jazz1350/A Sunday Kind Of Love.xml	A Sunday Kind Of Love	A Sunday Kind Of Love [jazz1350]	jazz1350	Anita Leonard	1946.0	1946.0	F major	F	major	AABA	32.0	4/4	-1.0	Ballad	f06cea1b-d641-42e2-b399-2f092a9c53ea					
24	dataset/jazz1350/A Sunday Kind Of Love.xml	A Sunday Kind Of Love	A Sunday Kind Of Love [jazz1350]	jazz1350	Barbara Belle	1946.0	1946.0	F major	F	major	AABA	32.0	4/4	-1.0	Ballad	f06cea1b-d641-42e2-b399-2f092a9c53ea					
24	dataset/jazz1350/A Sunday Kind Of Love.xml	A Sunday Kind Of Love	A Sunday Kind Of Love [jazz1350]	jazz1350	Louis Prima	1946.0	1946.0	F major	F	major	AABA	32.0	4/4	-1.0	Ballad	f06cea1b-d641-42e2-b399-2f092a9c53ea					
24	dataset/jazz1350/A Sunday Kind Of Love.xml	A Sunday Kind Of Love	A Sunday Kind Of Love [jazz1350]	jazz1350	Stan Rhodes	1946.0	1946.0	F major	F	major	AABA	32.0	4/4	-1.0	Ballad	f06cea1b-d641-42e2-b399-2f092a9c53ea					
25	dataset/jazz1350/A Taste Of Honey.xml	A Taste Of Honey	A Taste Of Honey [jazz1350]	jazz1350	Bobby Scott	1960.0	1960.0	D minor	D	minor	AB	22.0	3/4	-1.0	Waltz	47dcb656-3e85-39eb-ab71-d2e75564fc44	Q300586	mc0002629486	https://en.wikipedia.org/wiki/A_Taste_of_Honey_(song)	original song written and composed by Bobby Scott (music) and Ric Marlow (words)	Ric Marlow
26	dataset/jazz1350/A Time For Love.xml	A Time For Love	A Time For Love [jazz1350]	jazz1350	Johnny Mandel	1966.0	1966.0	F major	F	major	ABCD	38.0	4/4	-1.0	Ballad	9f0bfa8b-394d-45de-b8e7-6df23766000b					Paul Francis Webster
27	dataset/jazz1350/A Tisket A Tasket.xml	A Tisket A Tasket	A Tisket A Tasket [jazz1350]	jazz1350	[traditional]			Eb major	Eb	major	AABA	32.0	4/4	-3.0	Medium Swing	282b07a7-3311-4c26-9f41-0bb7dce3417c	Q4646947		https://en.wikipedia.org/wiki/A-Tisket,_A-Tasket	song performed by Ella Fitzgerald	traditional
28	dataset/jazz1350/A Weaver Of Dreams.xml	A Weaver Of Dreams	A Weaver Of Dreams [jazz1350]	jazz1350	John Elliot	1979.0	1979.0	C major	C	major	ABAC	32.0	4/4	0.0	Medium Swing	0a09d3fe-238f-40e4-aaa9-e57a8a806a42					
