id	file_name	style	sections	num_bars	max_num_chords_per_bar	title	file_path	year	playlist	title_playlist	tune_key	tune_mode	beats	beat_time	cycle_fifths_order	year_truncated	structure	time_signature	tonality	id	musicbrainz_id	musicbrainz_composer	musicbrainz_lyricist	musicbrainz_type	wikidata_id	wikidata_description	wikidata_allmusic	wiki_link	composer
24	dataset/jazz1350/A Sunday Kind Of Love.xml	Ballad	{'1': 'A', '9': 'A', '17': 'B', '25': 'A'}	32.0	3.0	A Sunday Kind Of Love	dataset/jazz1350/A Sunday Kind Of Love.xml	1946.0	jazz1350	A Sunday Kind Of Love [jazz1350]	F	major	4.0	4.0	-1.0	1946.0	AABA	4/4	F major	24	f06cea1b-d641-42e2-b399-2f092a9c53ea	['Anita Leonard', 'Barbara Belle', 'Louis Prima', 'Stan Rhodes']	[]	Song					Stan Rhodes
25	dataset/jazz1350/A Taste Of Honey.xml	Waltz	{'1': 'A', '15': 'B'}	22.0	2.0	A Taste Of Honey	dataset/jazz1350/A Taste Of Honey.xml	1960.0	jazz1350	A Taste Of Honey [jazz1350]	D	minor	3.0	4.0	-1.0	1960.0	AB	3/4	D minor	25	47dcb656-3e85-39eb-ab71-d2e75564fc44	['Bobby Scott']	['Ric Marlow']	Song	Q300586	original song written and composed by Bobby Scott (music) and Ric Marlow (words)	mc0002629486	https://en.wikipedia.org/wiki/A_Taste_of_Honey_(song)	Bobby Scott
26	dataset/jazz1350/A Time For Love.xml	Ballad	{'1': 'A', '9': 'B', '17': 'C', '25': 'D'}	38.0	2.0	A Time For Love	dataset/jazz1350/A Time For Love.xml	1966.0	jazz1350	A Time For Love [jazz1350]	F	major	4.0	4.0	-1.0	1966.0	ABCD	4/4	F major	26	9f0bfa8b-394d-45de-b8e7-6df23766000b	['Johnny Mandel']	['Paul Francis Webster']	Song					Johnny Mandel
27	dataset/jazz1350/A Tisket A Tasket.xml	Medium Swing	{'1': 'A', '9': 'A', '17': 'B', '25': 'A'}	32.0	2.0	A Tisket A Tasket	dataset/jazz1350/A Tisket A Tasket.xml		jazz1350	A Tisket A Tasket [jazz1350]	Eb	major	4.0	4.0	-3.0		AABA	4/4	Eb major	27	282b07a7-3311-4c26-9f41-0bb7dce3417c	['[traditional]']	['[traditional]']	Song	Q4646947	song performed by Ella Fitzgerald		https://en.wikipedia.org/wiki/A-Tisket,_A-Tasket	[traditional]
28	dataset/jazz1350/A Weaver Of Dreams.xml	Medium Swing	{'1': 'A', '9': 'B', '17': 'A', '25': 'C'}	32.0	2.0	A Weaver Of Dreams	dataset/jazz1350/A Weaver Of Dreams.xml	1979.0	jazz1350	A Weaver Of Dreams [jazz1350]	C	major	4.0	4.0	0.0	1979.0	ABAC	4/4	C major	28	0a09d3fe-238f-40e4-aaa9-e57a8a806a42	['John Elliot', 'Victor Young']	[]	Song					John Elliot
28	dataset/jazz1350/A Weaver Of Dreams.xml	Medium Swing	{'1': 'A', '9': 'B', '17': 'A', '25': 'C'}	32.0	2.0	A Weaver Of Dreams	dataset/jazz1350/A Weaver Of Dreams.xml	1979.0	jazz1350	A Weaver Of Dreams [jazz1350]	C	major	4.0	4.0	0.0	1979.0	ABAC	4/4	C major	28	0a09d3fe-238f-40e4-aaa9-e57a8a806a42	['John Elliot', 'Victor Young']	[]	Song					Victor Young
29	dataset/jazz1350/A Wonderful Day Like Today.xml	Up Tempo Swing	{'1': 'A', '17': 'A', '33': 'B', '49': 'A'}	68.0	2.0	A Wonderful Day Like Today	dataset/jazz1350/A Wonderful Day Like Today.xml	1964.0	jazz1350	A Wonderful Day Like Today [jazz1350]	Eb	major	4.0	4.0	-3.0	1964.0	AABA	4/4	Eb major	29	8acc8960-f925-417e-937a-e15fa7fd8e59	['Anthony Newley', 'Leslie Bricusse']	[]	Song					Anthony Newley
29	dataset/jazz1350/A Wonderful Day Like Today.xml	Up Tempo Swing	{'1': 'A', '17': 'A', '33': 'B', '49': 'A'}	68.0	2.0	A Wonderful Day Like Today	dataset/jazz1350/A Wonderful Day Like Today.xml	1964.0	jazz1350	A Wonderful Day Like Today [jazz1350]	Eb	major	4.0	4.0	-3.0	1964.0	AABA	4/4	Eb major	29	8acc8960-f925-417e-937a-e15fa7fd8e59	['Anthony Newley', 'Leslie Bricusse']	[]	Song					Leslie Bricusse
30	dataset/jazz1350/Ablution.xml	Medium Swing	{'1': 'A', '9': 'B', '17': 'C', '25': 'D'}	36.0	1.0	Ablution	dataset/jazz1350/Ablution.xml	1980.0	jazz1350	Ablution [jazz1350]	Ab	major	4.0	4.0	-4.0	1980.0	ABCD	4/4	Ab major	30		[]	[]						Lennie Tristano
31	dataset/jazz1350/Ac-Cent-Tchu-Ate The Positive.xml	Medium Swing	{'1': 'A', '9': 'A', '17': 'B', '25': 'A'}	32.0	3.0	Ac-Cent-Tchu-Ate The Positive	dataset/jazz1350/Ac-Cent-Tchu-Ate The Positive.xml	1944.0	jazz1350	Ac-Cent-Tchu-Ate The Positive [jazz1350]	F	major	4.0	4.0	-1.0	1944.0	AABA	4/4	F major	31	5038f3b8-0451-36dc-8cc8-cd6cc6fb4683	['Harold Arlen']	['Johnny Mercer']	Song	Q938338	"original song composed by Harold Arlen, lyrics by Johnny Mercer; from the 1944 film ""Here Come the Waves"""	mc0002457872	https://en.wikipedia.org/wiki/Ac-Cent-Tchu-Ate_the_Positive	Harold Arlen
